Precio;Ubicacion;Titulo;Atributos;Link
"250.000";"Valle 600, Caballito, Capital Federal";"Venta Semipiso 3 Ambientes Con Cochera En Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-2819106324-venta-semipiso-3-ambientes-con-cochera-en-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"250.000";"Valle 600, Caballito, Capital Federal";"Venta Semipiso 3 Ambientes Con Cochera En Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-2819106324-venta-semipiso-3-ambientes-con-cochera-en-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"145.000";"Paraguay 2600, Recoleta, Capital Federal";"Venta Depto 3 Amb Y Dependencia, Recoleta, Gran Oportunidad, Vista, Luz Y Balcón.";"";"https://departamento.mercadolibre.com.ar/MLA-1581368469-venta-depto-3-amb-y-dependencia-recoleta-gran-oportunidad-vista-luz-y-balcon-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"145.000";"Paraguay 2600, Recoleta, Capital Federal";"Venta Depto 3 Amb Y Dependencia, Recoleta, Gran Oportunidad, Vista, Luz Y Balcón.";"";"https://departamento.mercadolibre.com.ar/MLA-1581368469-venta-depto-3-amb-y-dependencia-recoleta-gran-oportunidad-vista-luz-y-balcon-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"69.000";"Ricardo Gutierrez Al 3200, 2°, Villa Del Parque, Capital Federal";"Bajo De Precio Venta Departamento 2 Ambientes Con Patio";"";"https://departamento.mercadolibre.com.ar/MLA-1691632481-bajo-de-precio-venta-departamento-2-ambientes-con-patio-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"69.000";"Ricardo Gutierrez Al 3200, 2°, Villa Del Parque, Capital Federal";"Bajo De Precio Venta Departamento 2 Ambientes Con Patio";"";"https://departamento.mercadolibre.com.ar/MLA-1691632481-bajo-de-precio-venta-departamento-2-ambientes-con-patio-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"110.000";"Rosario Al 700, Caballito, Capital Federal";"Venta Departamento 3 Ambientes Al Frente Balcón Reciclado Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-2624993576-venta-departamento-3-ambientes-al-frente-balcon-reciclado-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"110.000";"Rosario Al 700, Caballito, Capital Federal";"Venta Departamento 3 Ambientes Al Frente Balcón Reciclado Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-2624993576-venta-departamento-3-ambientes-al-frente-balcon-reciclado-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"258.000";"Cabello 3600, Palermo Chico, Capital Federal";"Venta Departamento 3 Ambientes + Patio. Palermo Chico";"";"https://departamento.mercadolibre.com.ar/MLA-2900825862-venta-departamento-3-ambientes-patio-palermo-chico-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"258.000";"Cabello 3600, Palermo Chico, Capital Federal";"Venta Departamento 3 Ambientes + Patio. Palermo Chico";"";"https://departamento.mercadolibre.com.ar/MLA-2900825862-venta-departamento-3-ambientes-patio-palermo-chico-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
"350.000";"Moldes Al 2300, Belgrano, Capital Federal";"Departamento En Venta En Belgrano 5 Amb Con Balcón Terraza";"";"https://departamento.mercadolibre.com.ar/MLA-1517713465-departamento-en-venta-en-belgrano-5-amb-con-balcon-terraza-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply"
