Precio;Ubicacion;Titulo;Atributos;Link
"49.000";"Sarmiento 1169, San Nicolás, Capital Federal";"Venta. Depto 2 Amb. Zona Obelisco. Apto Credito Y Profes.";"";"https://departamento.mercadolibre.com.ar/MLA-1735372111-venta-depto-2-amb-zona-obelisco-apto-credito-y-profes-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"49.000";"Sarmiento 1169, San Nicolás, Capital Federal";"Venta. Depto 2 Amb. Zona Obelisco. Apto Credito Y Profes.";"";"https://departamento.mercadolibre.com.ar/MLA-1735372111-venta-depto-2-amb-zona-obelisco-apto-credito-y-profes-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"62.000";"Beruti 2877, Recoleta, Capital Federal";"Departamento 2 Ambientes En Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3153577634-departamento-2-ambientes-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"62.000";"Beruti 2877, Recoleta, Capital Federal";"Departamento 2 Ambientes En Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3153577634-departamento-2-ambientes-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"50.000";"Yerbal 600, Caballito, Capital Federal";"Dos Ambientes Con Patio - Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-1736334249-dos-ambientes-con-patio-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"50.000";"Yerbal 600, Caballito, Capital Federal";"Dos Ambientes Con Patio - Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-1736334249-dos-ambientes-con-patio-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"100.000";"Charcas 2900, Recoleta, Capital Federal";"Venta. Apto Credito, Dpto 3 Ambientes, C/ Baulera. Recoleta. Excelente Ubicación";"";"https://departamento.mercadolibre.com.ar/MLA-1736382783-venta-apto-credito-dpto-3-ambientes-c-baulera-recoleta-excelente-ubicacion-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"100.000";"Charcas 2900, Recoleta, Capital Federal";"Venta. Apto Credito, Dpto 3 Ambientes, C/ Baulera. Recoleta. Excelente Ubicación";"";"https://departamento.mercadolibre.com.ar/MLA-1736382783-venta-apto-credito-dpto-3-ambientes-c-baulera-recoleta-excelente-ubicacion-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"58.900";"Av La Plata 300, Caballito, Capital Federal";"Departamento En Venta Caballito Con Patio, Capital Federal, Buenos Aires";"";"https://departamento.mercadolibre.com.ar/MLA-3159440938-departamento-en-venta-caballito-con-patio-capital-federal-buenos-aires-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"58.900";"Av La Plata 300, Caballito, Capital Federal";"Departamento En Venta Caballito Con Patio, Capital Federal, Buenos Aires";"";"https://departamento.mercadolibre.com.ar/MLA-3159440938-departamento-en-venta-caballito-con-patio-capital-federal-buenos-aires-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"65.000";"La Pampa 2500, Belgrano R, Capital Federal";"Venta. Departamento 2 Ambientes. Apto Crédito. Belgrano R";"";"https://departamento.mercadolibre.com.ar/MLA-3154243030-venta-departamento-2-ambientes-apto-credito-belgrano-r-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"65.000";"La Pampa 2500, Belgrano R, Capital Federal";"Venta. Departamento 2 Ambientes. Apto Crédito. Belgrano R";"";"https://departamento.mercadolibre.com.ar/MLA-3154243030-venta-departamento-2-ambientes-apto-credito-belgrano-r-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"89.000";"Alejandro Magariños Cervantes 1900, Villa Gral. Mitre, Capital Federal";"Venta Departamento Dos Ambientes";"";"https://departamento.mercadolibre.com.ar/MLA-1735699093-venta-departamento-dos-ambientes-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"89.000";"Alejandro Magariños Cervantes 1900, Villa Gral. Mitre, Capital Federal";"Venta Departamento Dos Ambientes";"";"https://departamento.mercadolibre.com.ar/MLA-1735699093-venta-departamento-dos-ambientes-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"68.000";"Virrey Loreto Al 2500, Belgrano, Capital Federal";"Venta Departamento 1 Dormitorio En Belgrano Con Terraza";"";"https://departamento.mercadolibre.com.ar/MLA-1736216919-venta-departamento-1-dormitorio-en-belgrano-con-terraza-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"68.000";"Virrey Loreto Al 2500, Belgrano, Capital Federal";"Venta Departamento 1 Dormitorio En Belgrano Con Terraza";"";"https://departamento.mercadolibre.com.ar/MLA-1736216919-venta-departamento-1-dormitorio-en-belgrano-con-terraza-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"80.000";"Aguirre 50, Villa Crespo, Capital Federal";"Aguirre 50";"";"https://departamento.mercadolibre.com.ar/MLA-1737984245-aguirre-50-_JM#polycard_client=search-desktop&search_layout=grid&position=9&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"80.000";"Aguirre 50, Villa Crespo, Capital Federal";"Aguirre 50";"";"https://departamento.mercadolibre.com.ar/MLA-1737984245-aguirre-50-_JM#polycard_client=search-desktop&search_layout=grid&position=9&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"99.900";"Humberto Primo 986, San Telmo, Capital Federal";"Venta Departamento 4 Ambientes San Telmo";"";"https://departamento.mercadolibre.com.ar/MLA-1736315729-venta-departamento-4-ambientes-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=10&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"99.900";"Humberto Primo 986, San Telmo, Capital Federal";"Venta Departamento 4 Ambientes San Telmo";"";"https://departamento.mercadolibre.com.ar/MLA-1736315729-venta-departamento-4-ambientes-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=10&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"128.000";"Acoyte 200, Caballito, Capital Federal";"Venta. Departamento. Tres Ambientes. Apto Crédito. Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-3151831124-venta-departamento-tres-ambientes-apto-credito-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=11&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"128.000";"Acoyte 200, Caballito, Capital Federal";"Venta. Departamento. Tres Ambientes. Apto Crédito. Caballito";"";"https://departamento.mercadolibre.com.ar/MLA-3151831124-venta-departamento-tres-ambientes-apto-credito-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=11&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"120.000";"Jorge Newbery 3900, Chacarita, Capital Federal";"Venta 3 Ambientes, Remodelado, Balcón, Luminoso, Piso Alto En Chacarita";"";"https://departamento.mercadolibre.com.ar/MLA-3154509556-venta-3-ambientes-remodelado-balcon-luminoso-piso-alto-en-chacarita-_JM#polycard_client=search-desktop&search_layout=grid&position=12&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"120.000";"Jorge Newbery 3900, Chacarita, Capital Federal";"Venta 3 Ambientes, Remodelado, Balcón, Luminoso, Piso Alto En Chacarita";"";"https://departamento.mercadolibre.com.ar/MLA-3154509556-venta-3-ambientes-remodelado-balcon-luminoso-piso-alto-en-chacarita-_JM#polycard_client=search-desktop&search_layout=grid&position=12&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"69.500";"Lavalleja 200, Villa Crespo, Capital Federal";"Departamento En Venta 2 Ambientes Villa Crespo Apto Crédito";"";"https://departamento.mercadolibre.com.ar/MLA-3154434462-departamento-en-venta-2-ambientes-villa-crespo-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=13&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"69.500";"Lavalleja 200, Villa Crespo, Capital Federal";"Departamento En Venta 2 Ambientes Villa Crespo Apto Crédito";"";"https://departamento.mercadolibre.com.ar/MLA-3154434462-departamento-en-venta-2-ambientes-villa-crespo-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=13&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"125.000";"Cabrera 3000, Recoleta, Capital Federal";"Venta. Departamento Tres Ambientes. Frente. Apto Crédito. Recoleta.";"";"https://departamento.mercadolibre.com.ar/MLA-3159893600-venta-departamento-tres-ambientes-frente-apto-credito-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=14&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"125.000";"Cabrera 3000, Recoleta, Capital Federal";"Venta. Departamento Tres Ambientes. Frente. Apto Crédito. Recoleta.";"";"https://departamento.mercadolibre.com.ar/MLA-3159893600-venta-departamento-tres-ambientes-frente-apto-credito-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=14&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"77.000";"Tacuarí 1300, San Telmo, Capital Federal";"Departamento. Frente. Balcon. Amplio Y Luminoso San Telmo";"";"https://departamento.mercadolibre.com.ar/MLA-3158553178-departamento-frente-balcon-amplio-y-luminoso-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=15&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"77.000";"Tacuarí 1300, San Telmo, Capital Federal";"Departamento. Frente. Balcon. Amplio Y Luminoso San Telmo";"";"https://departamento.mercadolibre.com.ar/MLA-3158553178-departamento-frente-balcon-amplio-y-luminoso-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=15&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"389.000";"Ciudad De La Paz 1000, Colegiales, Capital Federal";"Venta - 4 Ambientes - Luminoso - Con Cochera - Colegiales";"";"https://departamento.mercadolibre.com.ar/MLA-1735645279-venta-4-ambientes-luminoso-con-cochera-colegiales-_JM#polycard_client=search-desktop&search_layout=grid&position=16&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"389.000";"Ciudad De La Paz 1000, Colegiales, Capital Federal";"Venta - 4 Ambientes - Luminoso - Con Cochera - Colegiales";"";"https://departamento.mercadolibre.com.ar/MLA-1735645279-venta-4-ambientes-luminoso-con-cochera-colegiales-_JM#polycard_client=search-desktop&search_layout=grid&position=16&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"95.000";"Bonpland Al 2300, Palermo, Capital Federal";"Venta Departamento 3 Ambientes Palermo";"";"https://departamento.mercadolibre.com.ar/MLA-3152874938-venta-departamento-3-ambientes-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=17&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"95.000";"Bonpland Al 2300, Palermo, Capital Federal";"Venta Departamento 3 Ambientes Palermo";"";"https://departamento.mercadolibre.com.ar/MLA-3152874938-venta-departamento-3-ambientes-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=17&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"84.600";"Mansilla 2900, Recoleta, Capital Federal";"Dos Ambientes, 2 Patios, Contrafrente, Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-1736361567-dos-ambientes-2-patios-contrafrente-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=18&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"84.600";"Mansilla 2900, Recoleta, Capital Federal";"Dos Ambientes, 2 Patios, Contrafrente, Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-1736361567-dos-ambientes-2-patios-contrafrente-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=18&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"75.000";"La Rioja 1700, Parque Patricios, Capital Federal";"Venta Departamento 2 Amb Parque Patricios Balcon";"";"https://departamento.mercadolibre.com.ar/MLA-3147996582-venta-departamento-2-amb-parque-patricios-balcon-_JM#polycard_client=search-desktop&search_layout=grid&position=19&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"75.000";"La Rioja 1700, Parque Patricios, Capital Federal";"Venta Departamento 2 Amb Parque Patricios Balcon";"";"https://departamento.mercadolibre.com.ar/MLA-3147996582-venta-departamento-2-amb-parque-patricios-balcon-_JM#polycard_client=search-desktop&search_layout=grid&position=19&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"120.000";"Bolivar 1071, San Telmo, Capital Federal";"Venta Departamento De 3 Ambientes En San Telmo";"";"https://departamento.mercadolibre.com.ar/MLA-3150503960-venta-departamento-de-3-ambientes-en-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=20&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"120.000";"Bolivar 1071, San Telmo, Capital Federal";"Venta Departamento De 3 Ambientes En San Telmo";"";"https://departamento.mercadolibre.com.ar/MLA-3150503960-venta-departamento-de-3-ambientes-en-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=20&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"110.000";"Thames 1300, Palermo, Capital Federal";"Venta Dpto 3 Amb C/ Balcón Al Frente. Luminoso. Apto Crédito, Palermo.";"";"https://departamento.mercadolibre.com.ar/MLA-1737872159-venta-dpto-3-amb-c-balcon-al-frente-luminoso-apto-credito-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=21&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
"110.000";"Thames 1300, Palermo, Capital Federal";"Venta Dpto 3 Amb C/ Balcón Al Frente. Luminoso. Apto Crédito, Palermo.";"";"https://departamento.mercadolibre.com.ar/MLA-1737872159-venta-dpto-3-amb-c-balcon-al-frente-luminoso-apto-credito-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=21&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply"
