Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
1.100.000 ARS,N/A,TALCAHUANO,700,N/A,https://www.remax.com.ar/listings/alquiler-luminosa-oficina-con-inmejorable-vista,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,250,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
890.000 ARS,65.000 ARS,Virrey Liniers,2200,N/A,https://www.remax.com.ar/listings/ph-3-ambientes-a-estrenar-con-patio-bajas-expensas-1,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,71,N/A,N/A,65.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
600.000 ARS,N/A,INCLAN,4200,N/A,https://www.remax.com.ar/listings/alquiler-dpto-3-ambientes-muy-luminoso,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
750.000 ARS,130.000 ARS,CORDOBA,2500,N/A,https://www.remax.com.ar/listings/alquiler-2-ambientes-zona-facultades-hospitales,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.81,33.81,N/A,N/A,130.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
550.000 ARS,110.000 ARS,Marcelo Torcuato de Alvear,600,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-retiro,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.92,24.92,N/A,N/A,110.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.500.000 ARS,N/A,YERBAL,5100,N/A,https://www.remax.com.ar/listings/villa-luro-alquiler-casa-4-amb-excelente-ubicacion,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105,168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
550.000 ARS,87.750 ARS,Francisco Acuña de Figueroa,400,N/A,https://www.remax.com.ar/listings/alquiler-2amb-almagro,2,1,1,N/A,N/A,N/A,lateral,norte,N/A,N/A,N/A,N/A,N/A,34.2,34.2,N/A,N/A,87.750,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.350 USD,300.000 ARS,JURAMENTO,2800,N/A,https://www.remax.com.ar/listings/alquiler-depto-4amb-c-balcon-al-fte-belgrano-1,4,3,1,1,N/A,N/A,frente,N/A,N/A,N/A,N/A,N/A,N/A,60,68,8,N/A,300.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
700.000 ARS,400.000 ARS,LAVALLE,400,N/A,https://www.remax.com.ar/listings/alquiler-oficina-con-balcon-terraza-refaccionada-1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.1,73.1,N/A,N/A,400.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
550.000 ARS,108.000 ARS,Ramón Falcón,2100,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-c-balcon-flores-apto-prof,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,33,3,N/A,108.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
