Precio_m2_USD,Rentabilidad_bruta_anual,Rentabilidad_neta_anual,Payback_anios,Yield_gap_vs_bonos,Tipologia,Zona_riesgo,Comuna,Barrio,Indice_amenities,Sup_Cubierta_m2,Distancia_subte_km,Distancia_parque_km,Liquidez_oferta_comuna,Tasa_delitos_comuna,Volatilidad_Precio_m2_comuna,confianza_renta,A_estrenar,Cluster,PC1,PC2,PC3,PC4
2500.0,0.0715111999158691,0.0345519332562134,13.983823529411763,-0.0284888000841308,3A,bajo,14.0,Palermo,1,60.0,0.4627261096814245,1.9952221464090016,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,0.4468531047964572,-0.5238926767728973,0.1612084529236951,0.0120280768191676
2825.0,0.0709780122095244,0.0340631778587307,14.088870184868476,-0.0290219877904755,monoamb,bajo,14.0,Palermo,2,40.0,0.6466115771636299,0.9754411377125086,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,0.9592034667092246,-0.935417013476484,-0.3134125390336558,-0.4362390550621857
3666.6666666666665,0.0474716531000687,0.0125156820083963,21.065202804124613,-0.0525283468999312,4+A,bajo,14.0,Palermo,2,90.0,0.7501784699493982,1.4237299509742711,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,2,1.7624237405998116,-0.5182766669571378,0.1343928403225272,0.3927044882107942
3103.448275862069,0.0580209093445285,0.0221858335658178,17.23516593064741,-0.0419790906554714,4+A,bajo,14.0,Palermo,2,87.0,0.3671645122076056,1.063143295157409,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,2,1.2865741818059475,-1.051395658858702,0.1108756395566808,0.3407677965816184
4071.428571428572,0.0420654117152171,0.007559960738949,23.7725,-0.0579345882847828,4+A,bajo,14.0,Palermo,0,140.0,1.7937628536631245,1.2616803020739715,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,1.6299872709441947,0.2450449387912927,-0.3079302767499147,1.7391819162155575
3161.2903225806454,0.0565093063295848,0.0208001974687861,17.696200235897436,-0.0434906936704151,monoamb,bajo,14.0,Palermo,0,31.0,0.279067877653703,1.3973780667069042,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,0.8066362791461563,-0.8144140971340319,0.0238487498512941,-0.2832261768862749
3582.089552238806,0.0446944999474182,0.0099699582851333,22.374117647058824,-0.0553055000525817,3A,bajo,14.0,Palermo,3,67.0,0.2675545221636876,1.3725413828922337,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,1.962774844047366,-0.9149881972944628,0.326023067564388,-0.220058600703299
3146.3414634146343,0.0594409161391697,0.0234875064609056,16.823428455555554,-0.0405590838608302,2A,bajo,14.0,Palermo,0,41.0,0.4988047758975981,1.1396932780242517,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,0.7860092216418227,-0.8090929977871205,-0.1623505106176562,-0.0731326977099928
3769.2,0.0376731784225402,0.0035337468873285,26.54408366568,-0.0623268215774597,monoamb,alto,5.0,Almagro,1,30.0,0.2967274382798723,1.405868875464313,0.0013072260551381,0.7262366972989581,0.8153691824811038,alta,0,2,0.6552591106758443,-0.0795432548676262,0.7669295934659929,-0.6768780022708686
2920.0,0.0517416437442788,0.0164298400989222,19.32679226315789,-0.0482583562557211,4+A,bajo,14.0,Palermo,0,75.0,0.1592325303660477,0.9781373062276012,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,2,0.7092383025105297,-1.1406103023848724,0.0955466433374593,0.5323778294071547
