Feature,Importancia_MDI,Importancia_Permutacion,Coef_OLS_std,p_valor_OLS
Precio_m2_USD,0.4068549623954452,0.4284626687952381,-0.034497898931279025,1.8781198399124543e-37
Sup_Cubierta_m2,0.43530635845691107,0.39473178684271654,-0.01063504356962313,1.0578837223428067e-10
Tipologia_monoamb,0.02798678781248989,0.06815630355573085,0.008215650150488717,1.1263822747917374e-10
Indice_amenities,0.03004577772857038,0.024331159083519266,0.004816804031622398,1.8661388643858046e-06
Distancia_subte_km,0.020252593167159372,0.02410498764927438,0.000786794819870261,0.2654734916991649
Volatilidad_Precio_m2_comuna,0.009784835056414075,0.012127097757884986,-0.0009064997150546171,0.04087255555944932
Liquidez_oferta_comuna,0.011423017696072126,0.012089293183466488,0.009383053900581554,6.059386017294285e-19
Tasa_delitos_comuna,0.019483028085319373,0.011582217352320734,-0.0005529919690578592,0.779987364534274
Distancia_parque_km,0.029427123605260074,0.009124515951373414,-0.00017493317528324078,0.8325004506736177
Zona_riesgo_medio,0.0024139460208293948,0.005754091930330246,0.0003160409993538224,0.7618808920854161
Tipologia_4+A,0.0032745728128168545,0.004148859273054295,0.006582345018816672,3.7071591650496777e-09
Tipologia_3A,0.001663973112375022,0.002940574973760768,0.0021801721645009096,1.2516623006176064e-05
Zona_riesgo_bajo,0.0020830240503372298,0.002724577668611128,0.002897166077045888,0.07418619199882188
A_estrenar,0.0,-1.6653345369377347e-17,-0.00019866994782904556,0.48994111825412423
