Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
239.000 USD,N/A,JURAMENTO,5200,N/A,https://www.remax.com.ar/listings/venta-ph-5-ambientes-villa-urquiza-con-patio,5,4,2,N/A,N/A,N/A,frente,N/A,N/A,sí,sí,N/A,N/A,120,135,15,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
175.000 USD,N/A,HABANA,3200,N/A,https://www.remax.com.ar/listings/venta-ph-3-amb-con-patio-terraza-villa-pueyrredon,3,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
139.000 USD,140.000 ARS,TERRERO,200,N/A,https://www.remax.com.ar/listings/hermoso-dpto-dos-ambientes-cochera-con-amenities-1,2,1,1,N/A,N/A,N/A,frente,N/A,N/A,N/A,sí,N/A,N/A,44,49,5,N/A,140.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
130.000 USD,. ARS,THAMES,2300,N/A,https://www.remax.com.ar/listings/vta-3-amb-bajas-expensas,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.21,60.21,N/A,N/A,55.540,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
125.000 USD,100.000 ARS,INDEPENDENCIA AV.,1900,N/A,https://www.remax.com.ar/listings/venta-2-amb-a-estrenar-con-balcon-san-cristobal,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,46.59,55.04,8.45,N/A,100.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
119.000 USD,140.000 ARS,VALDENEGRO,2500,N/A,https://www.remax.com.ar/listings/venta-2-amb-50m2-corazon-de-villa-urquiza,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,sí,N/A,N/A,43,50,7,N/A,140.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
75.000 USD,169.000 ARS,Carlos Pellegrini,1000,N/A,https://www.remax.com.ar/listings/venta-monoambiente-32-m2-vista-9-de-julio,1,N/A,1,N/A,N/A,N/A,frente,N/A,N/A,sí,N/A,N/A,N/A,32,32,N/A,N/A,169.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
54.000 USD,153.000 ARS,CORDOBA,2800,N/A,https://www.remax.com.ar/listings/venta-amplio-monoambiente-en-zona-facultades,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.9,31.9,N/A,N/A,153.000,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
N/A,N/A,DEAN FUNES,1000,N/A,https://www.remax.com.ar/listings/venta-monoambiente-con-balcon-san-cristobal,1,N/A,1,N/A,N/A,N/A,contrafrente,oeste,N/A,N/A,N/A,N/A,N/A,29,33,4,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
140.000 USD,155.000 ARS,José Andrés Pacheco de Melo,2100,N/A,https://www.remax.com.ar/listings/venta-dpto-3-amb-en-pleno-recoleta,3,2,1,1,N/A,N/A,N/A,N/A,N/A,sí,sí,N/A,N/A,60,60,N/A,N/A,155.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
149.900 USD,220.000 ARS,General Martín Miguel de Güemes,4800,N/A,https://www.remax.com.ar/listings/venta-2-ambientes-balcon-terraza-palermo,2,1,1,N/A,N/A,N/A,frente,norte,N/A,N/A,N/A,N/A,N/A,55,70,N/A,N/A,220.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
53.750 USD,118.000 ARS,CORRIENTES AV.,700,N/A,https://www.remax.com.ar/listings/venta-2-ambientes-a-dos-cuadras-del-obelisco,2,1,1,N/A,N/A,N/A,interno,N/A,N/A,sí,N/A,N/A,N/A,27.41,27.41,N/A,N/A,118.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
149.000 USD,N/A,LARRAZABAL,2000,N/A,https://www.remax.com.ar/listings/venta-deposito-mataderos,N/A,N/A,N/A,N/A,N/A,N/A,frente,N/A,N/A,sí,N/A,N/A,N/A,320,320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
57.000 USD,60.000 ARS,ROJAS,0,N/A,https://www.remax.com.ar/listings/venta-monoambiente-luminoso-caballito,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.3,22.3,N/A,N/A,60.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
375.000 USD,N/A,SAN MARTIN,3200,N/A,https://www.remax.com.ar/listings/oportunidad-venta-lote-paternal-1570-m2-vendibles,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
95.000 USD,N/A,BOEDO,900,N/A,https://www.remax.com.ar/listings/venta-ph-4-amb-boedo-con-patio-y-parrilla,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.81,80.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
125.000 USD,N/A,REMEDIOS,4600,N/A,https://www.remax.com.ar/listings/venta-ph-en-parque-avellaneda,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,93,116,23,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
