Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio,calle_norm,Altura_num,Comuna,Barrio,lat,lon,altura_ok,geo_score,geo_method,geo_ok,Distancia_subte_km,Distancia_parque_km,Tasa_delitos_comuna,Zona_riesgo,Tipologia,A_estrenar,Indice_amenities,Renta_largo_mensual_USD,Renta_m2_USD,banda_sup,Liquidez_oferta_comuna
USD 3.200,25000.0,La Pampa,1700.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--18803879,4.0,3.0,3,25.0,Frente,No informado,0,0,Semipiso,137.0,137.0,0.0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,argenprop,False,"(76.0, 900.0]",USD,3200.0,3200.0,4739840.0,1481.2,2026-05-13T14:00:00.000Z,0.0822812584391034,LA PAMPA,1700.0,13.0,Belgrano,-34.56072995646897,-58.44725426040874,True,100.0,exacto,True,1.3549754771886127,1.8864376163880503,0.32421076293276735,bajo,4+A,0,2,3200.0,23.357664233576642,>100,0.0018112574622510603
ARS 690.000,65000.0,Gascón,1200.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-1-ambiente--8218097,1.0,0.0,1,35.0,Contrafrente,No informado,0,0,Departamento,32.0,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,False,"(0.999, 35.0]",ARS,690000.0,465.83850931677017,690000.0,1481.2,2026-05-13T14:00:00.000Z,0.1666666666666666,GASCON,1200.0,14.0,Palermo,-34.59704601923356,-58.42326050954459,True,100.0,exacto,True,0.43273716919387206,1.3953558003476185,0.3173293561387364,bajo,monoamb,0,0,465.83850931677017,14.557453416149068,<35,0.0020354411558041806
ARS 950.000,25000.0,Avenida General Las Heras,4000.0,https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--15534083,2.0,1.0,1,35.0,Frente,No informado,0,0,Departamento,40.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,argenprop,False,"(35.0, 42.0]",ARS,950000.0,641.3718606535241,950000.0,1481.2,2026-05-13T14:00:00.000Z,0.1578947368421052,AVENIDA GENERAL LAS HERAS,4000.0,14.0,Palermo,-34.581716561120714,-58.41472827248055,True,100.0,exacto,True,0.804169752812701,0.7363556050351104,0.3173293561387364,bajo,2A,0,0,641.3718606535241,16.034296516338102,35-55,0.0020354411558041806
ARS 680.000,25000.0,Uriarte,1400.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--19378237,2.0,1.0,1,35.0,Contrafrente,No informado,0,0,Departamento,38.0,38.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argenprop,False,"(35.0, 42.0]",ARS,680000.0,459.0872265730488,680000.0,1481.2,2026-05-13T14:00:00.000Z,0.2205882352941176,URIARTE,1400.0,14.0,Palermo,-34.5891441062565,-58.43462180043448,True,100.0,exacto,True,0.3806544876245674,1.3826858355647313,0.3173293561387364,bajo,2A,0,0,459.0872265730488,12.081242804553915,35-55,0.0020354411558041806
ARS 700.000,25000.0,República De Eslovenia,1900.0,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--17654630,2.0,1.0,1,30.0,Frente,Norte,0,0,Departamento,38.0,40.0,2.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,argenprop,False,"(35.0, 42.0]",ARS,700000.0,472.5897920604915,700000.0,1481.2,2026-05-13T14:00:00.000Z,0.3571428571428571,REPUBLICA DE ESLOVENIA,1900.0,14.0,Palermo,-34.569840113754196,-58.433833189651075,True,100.0,exacto,True,1.0375512605480186,0.35142345106910444,0.3173293561387364,bajo,2A,0,1,472.5897920604915,12.436573475276091,35-55,0.0020354411558041806
USD 1.650,20000.0,HUMBOLDT,2400.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--19148513,3.0,2.0,2,5.0,Frente,Norte,0,0,Departamento,68.0,72.0,4.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,argenprop,False,"(52.274, 76.0]",USD,1650.0,1650.0,2443980.0,1481.2,2026-05-13T14:00:00.000Z,0.0851070794360019,HUMBOLDT,2400.0,14.0,Palermo,-34.57973277543704,-58.42949701903143,True,100.0,exacto,True,0.45263634581271966,1.0832145856568685,0.3173293561387364,bajo,3A,0,5,1650.0,24.264705882352942,55-75,0.0020354411558041806
ARS 700.000,65000.0,Bulnes,2000.0,https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--19364827,2.0,1.0,1,50.0,Lateral,Noreste,0,0,Departamento,33.0,35.0,2.0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,argenprop,False,"(0.999, 35.0]",ARS,700000.0,472.5897920604915,700000.0,1481.2,2026-05-13T14:00:00.000Z,0.2,BULNES,2000.0,14.0,Palermo,-34.58869778093569,-58.41215267529525,True,100.0,exacto,True,0.9187398017480178,1.5470233923274843,0.3173293561387364,bajo,2A,0,2,472.5897920604915,14.320902789711864,<35,0.0020354411558041806
ARS 1.700.000,20000.0,Charcas,4000.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-3-ambientes--19382369,3.0,2.0,1,30.0,Frente,Noreste,0,0,Departamento,65.0,72.0,8.5,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,argenprop,False,"(52.274, 76.0]",ARS,1700000.0,1147.7180664326222,1700000.0,1481.2,2026-05-13T14:00:00.000Z,0.2941176470588235,CHARCAS,4000.0,14.0,Palermo,-34.586512831028614,-58.41933648694958,True,100.0,exacto,True,0.2803794562972065,1.2360588609910341,0.3173293561387364,bajo,3A,0,5,1147.7180664326222,17.65720102204034,55-75,0.0020354411558041806
ARS 800.000,25000.0,F.Acuña de Figueroa,1300.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--17312409,2.0,1.0,1,15.0,Contrafrente,Noroeste,0,0,Semipiso,45.0,65.0,20.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,argenprop,False,"(52.274, 76.0]",ARS,800000.0,540.1026194977045,800000.0,1481.2,2026-05-13T14:00:00.000Z,0.275,F ACUNA DE FIGUEROA,1300.0,,,,,False,,sin_match,False,,,,,2A,0,1,540.1026194977045,12.002280433282323,35-55,
ARS 800.000,25000.0,Rivadavia,7113.0,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--19233196,3.0,2.0,1,40.0,Lateral,Oeste,0,0,Piso,60.0,60.0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,False,"(52.274, 76.0]",ARS,800000.0,540.1026194977045,800000.0,1481.2,2026-05-13T14:00:00.000Z,0.25,RIVADAVIA,7113.0,1.0,San Nicolas,-34.60797790441973,-58.37426430442141,True,100.0,recovery,True,0.167287950526813,1.3246722682785956,1.3599759089981835,alto,3A,0,0,540.1026194977045,9.001710324961742,55-75,0.0018408245339653984
ARS 640.000,65000.0,CULPINA,300.0,https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--19211045,1.0,0.0,1,35.0,Frente,Este,1,0,Departamento,33.0,33.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,argenprop,False,"(0.999, 35.0]",ARS,640000.0,432.0820955981636,640000.0,1481.2,2026-05-13T14:00:00.000Z,0.11125,CULPINA,300.0,7.0,Flores,-34.63306349978598,-58.46553923712775,True,100.0,exacto,True,2.294323106228851,1.6579864663165054,0.43066126904542795,bajo,monoamb,0,5,432.0820955981636,13.093396836307988,<35,0.000738924072151629
ARS 650.000,25000.0,Directorio Av. al,2300.0,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18418278,2.0,1.0,1,35.0,Contrafrente,Noroeste,0,0,Departamento,40.0,40.0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argenprop,False,"(35.0, 42.0]",ARS,650000.0,438.83337834188495,650000.0,1481.2,2026-05-13T14:00:00.000Z,0.1846153846153846,DIRECTORIO AVENIDA,2300.0,7.0,Flores,-34.63276911767436,-58.45837114149726,True,100.0,exacto,True,1.8628507925757893,1.6637077049105786,0.43066126904542795,bajo,2A,0,0,438.83337834188495,10.970834458547124,35-55,0.000738924072151629
ARS 650.000,25000.0,Doctor Tomás Manuel De Anchorena,1200.0,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--19254268,2.0,1.0,1,55.0,Contrafrente,No informado,0,0,Departamento,40.0,40.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,True,"(35.0, 42.0]",ARS,650000.0,438.83337834188495,650000.0,1481.2,2026-05-13T14:00:00.000Z,0.1923076923076923,DOCTOR TOMAS MANUEL DE ANCHORENA,1200.0,2.0,Recoleta,-34.596012078459445,-58.407024038798454,True,100.0,exacto,True,0.6009272314260236,2.4742544973422653,1.0447534381885875,alto,2A,0,1,438.83337834188495,10.970834458547124,35-55,0.0014373274573867233
