Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
900.000 ARS,7633.0,CULLEN,4900.0,https://www.remax.com.ar/listings/departamento-en-alquiler-en-v-urquiza-2-amb-c-seg,2.0,1.0,1,35.0,Contrafrente,Norte,0,0,Departamento,44.29,47.64,3.35,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(42.0, 52.274]",ARS,900000.0,607.6154469349176,900000.0,1481.2,2026-05-13T14:00:00.000Z,0.3611111111111111
550.000 ARS,65000.0,Avenida Francisco Beiró,3300.0,https://www.remax.com.ar/listings/alquiler-depto-2-amb-villa-del-parque-cochera,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,30.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.16363636363636364
750.000 ARS,25000.0,MIRANDA,4600.0,https://www.remax.com.ar/listings/alquiler-depto-2-amb-luminoso-monte-castro,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,40.0,41.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,750000.0,506.346205779098,750000.0,1481.2,2026-05-13T14:00:00.000Z,0.15333333333333332
2.300 USD,100000.0,DEL LIBERTADOR AV.,5000.0,https://www.remax.com.ar/listings/alquiler-semipiso-luminoso-cochera-baulera,4.0,3.0,1,35.0,No informado,No informado,0,0,Departamento,134.02,150.26,7.41,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(76.0, 900.0]",USD,2300.0,2300.0,3406760.0,1481.2,2026-05-13T14:00:00.000Z,0.1990759548662072
550.000 ARS,25000.0,DE LOS INCAS AV.,4000.0,https://www.remax.com.ar/listings/alquiler-monoambiente-balcon-frente-v-ortuzar,1.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,31.72,35.72,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.38545454545454544
950.000 ARS,25000.0,CIUDAD DE LA PAZ,3700.0,https://www.remax.com.ar/listings/alquiler-monambiente-con-cochera-coghlan,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,31.0,36.0,5.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,950000.0,641.3718606535241,950000.0,1481.2,2026-05-13T14:00:00.000Z,0.3157894736842105
395.000 ARS,65000.0,ESPINOSA,2400.0,https://www.remax.com.ar/listings/alquiler-monoamb-paternal-cocina-indepte,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,28.0,28.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,395000.0,266.6756683769916,395000.0,1481.2,2026-05-13T14:00:00.000Z,0.20759493670886076
690.000 ARS,65000.0,RIVADAVIA,800.0,https://www.remax.com.ar/listings/alquiler-local-multiples-usos-microcentro,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,21.0,21.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,690000.0,465.83850931677017,690000.0,1481.2,2026-05-13T14:00:00.000Z,0.13043478260869565
650 USD,25000.0,CONGRESO,1500.0,https://www.remax.com.ar/listings/alqu-dpto-2-amb-nunez-amoblado-balcon-amenities-1,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,34.81,41.01,6.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",USD,650.0,650.0,962780.0,1481.2,2026-05-13T14:00:00.000Z,0.20773177672988638
750.000 ARS,25000.0,HOLMBERG,2400.0,https://www.remax.com.ar/listings/alquiler-monoambiente-amoblado-premium-doho,1.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,37.21,41.44,4.229999999999997,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,750000.0,506.346205779098,750000.0,1481.2,2026-05-13T14:00:00.000Z,0.324
