Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
USD 180.000,400000.0,México,4200.0,https://www.argenprop.com/departamento-en-venta-en-caballito-sur-3-ambientes--12113273,3.0,2.0,1,11.0,Frente,Este,1,Sí,Departamento,100.0,100.0,0.0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.0,0,1,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,180000.0,180000.0,266616000.0,1481.2,2026-05-13T14:00:00.000Z,0.0015002850541602905
USD 68.000,112500.0,"RIVADAVIA, AV.",5200.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19339863,2.0,1.0,1,56.0,Contrafrente,Norte,1,Sí,Departamento,40.0,40.0,0.0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,68000.0,68000.0,100721600.0,1481.2,2026-05-13T14:00:00.000Z,0.0011169401598068339
USD 105.000,178000.0,CONESA,2500.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--19264926,1.0,1.0,1,10.0,Contrafrente,Noreste,0,0,Departamento,36.0,37.0,1.0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,105000.0,105000.0,155526000.0,1481.2,2026-05-13T14:00:00.000Z,0.001144503169887993
USD 129.000,112000.0,AMENABAR,2100.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--19225524,2.0,1.0,1,45.0,Lateral,Este,1,0,Departamento,63.0,63.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(53.0, 72.0]",USD,129000.0,129000.0,191074800.0,1481.2,2026-05-13T14:00:00.000Z,0.0005861578816254158
USD 599.000,1160000.0,Balbin,2400.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-5-ambientes--19116965,5.0,4.0,3,20.0,Frente,Oeste,0,0,Departamento,153.0,198.0,45.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0,0,1,0,1,1,argenprop,False,"(103.0, 992.0]",USD,599000.0,599000.0,887238800.0,1481.2,2026-05-13T14:00:00.000Z,0.001307427042189769
USD 198.000,180000.0,Jerónimo Salguero,1900.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18784904,3.0,2.0,1,40.0,Interno,No informado,0,Sí,Departamento,65.0,65.0,0.0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,argenprop,False,"(53.0, 72.0]",USD,198000.0,198000.0,293277600.0,1481.2,2026-05-13T14:00:00.000Z,0.000613752976701937
USD 248.000,230000.0,Avenida Gaona,1100.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18034339,4.0,2.0,3,30.0,Frente,Este,0,Sí,Semipiso,118.0,128.0,10.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(103.0, 992.0]",USD,248000.0,248000.0,367337600.0,1481.2,2026-05-13T14:00:00.000Z,0.0006261270286515728
USD 106.500,112950.0,Conesa al,2900.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--18933764,1.0,0.0,1,40.0,Contrafrente,Este,0,0,Departamento,34.0,39.0,5.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,True,"(-0.001, 39.0]",USD,106500.0,106500.0,157747800.0,1481.2,2026-05-13T14:00:00.000Z,0.0007160163247918513
USD 269.000,263000.0,ARENALES,3100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18537647,3.0,2.0,1,40.0,Frente,Noroeste,0,0,Piso,135.0,135.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,269000.0,269000.0,398442800.0,1481.2,2026-05-13T14:00:00.000Z,0.0006600696511519345
USD 155.000,288000.0,ARMENIA,2100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--19102028,2.0,1.0,1,18.0,Contrafrente,Noroeste,0,0,Departamento,47.0,49.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0,0,1,1,1,0,argenprop,False,"(39.0, 53.0]",USD,155000.0,155000.0,229586000.0,1481.2,2026-05-13T14:00:00.000Z,0.0012544318904462817
USD 89.000,120000.0,Santa Rosa,5000.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--19344446,1.0,0.0,1,45.0,Frente,Este,0,0,Departamento,25.0,29.0,4.0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,89000.0,89000.0,131826800.0,1481.2,2026-05-13T14:00:00.000Z,0.0009102853137601762
