Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,Precio_m2,Barrio
45000,0,Garay Al,1200,PB,https://departamento.mercadolibre.com.ar/MLA-2269556602-venta-departamento-2-ambientes-en-monserrat-oportunidad-_JM#polycard_client=search-desktop&search_layout=grid&position=33&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Monserrat
190000,0,Juncal,2200,PB,https://departamento.mercadolibre.com.ar/MLA-2797482506-departamento-tres-ambientes-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=34&type=item&float_highlight=not_apply&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,0,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
76000,0,Avenida Belgrano Al,3300,PB,https://departamento.mercadolibre.com.ar/MLA-2439496400-3amb-55m-lateral-mlum-2-entrep-altillo-pinotea-placard-aa-impecable-_JM#polycard_client=search-desktop&search_layout=grid&position=35&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Almagro
109000,0,Cramer,381,PB,https://departamento.mercadolibre.com.ar/MLA-1604370549-departamento-3-ambientes-colegiales-lavadero-_JM#polycard_client=search-desktop&search_layout=grid&position=36&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Colegiales
139000,0,Charcas,2900,PB,https://departamento.mercadolibre.com.ar/MLA-2197874416-venta-departamento-3-ambientes-planta-baja-patio-tipo-ph-toilette-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=37&type=item&float_highlight=not_apply&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
75000,0,Emilio Mitre Al,1700,PB,https://departamento.mercadolibre.com.ar/MLA-1573509243-venta-departamento-3-ambientes-con-balcon-parque-chacabuco-_JM#polycard_client=search-desktop&search_layout=grid&position=38&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Parque Chacabuco
585000,0,Yerbal Al,1800,PB,https://departamento.mercadolibre.com.ar/MLA-2583780978-venta-monoambiente-con-balcon-en-flores-_JM#polycard_client=search-desktop&search_layout=grid&position=39&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,0,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Caballito
229000,0,Peña,2200,PB,https://departamento.mercadolibre.com.ar/MLA-2305644640-depto-4-ambientes-reciclado-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=40&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,4,3,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,229000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
135000,0,Olleros Al,3200,PB,https://departamento.mercadolibre.com.ar/MLA-1527400215-duplex-con-balcon-terraza-1-dormitorio-bano-completo-bajas-expensas-colegiales-_JM#polycard_client=search-desktop&search_layout=grid&position=41&type=item&float_highlight=not_apply&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Colegiales
250000,0,J. F. Seguí,4400,PB,https://departamento.mercadolibre.com.ar/MLA-1620507823-departamento-en-venta-en-palermo-capital-federal-buenos-aires-_JM#polycard_client=search-desktop&search_layout=grid&position=42&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,0,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
