Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Desc_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antig_Edif,Estado_Edif,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_mov_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,Precio_m2,Barrio
165000,207000,Gallo Al,1500,1.0,https://departamento.mercadolibre.com.ar/MLA-3174364064-venta-departamento-3-ambientes-en-recoleta-con-baulera-_JM#polycard_client=search-desktop&search_layout=grid&position=45&type=item&float_highlight=recent_publication&tracking_id=1ff81333-d98e-49e9-a273-064fe8a58543&price_drop=not_apply,3,2,1,0,Bueno,60,Contrafrente,Sur,0,0,0,0,0,61.0,61.0,0,165000,207000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2704.92,Recoleta
137000,0,Coronel Diaz Al,2100,PB,https://departamento.mercadolibre.com.ar/MLA-1742734221-venta-departamento-2-ambientes-con-dos-patios-en-barrio-norte-apto-credito-y-profesional-_JM#polycard_client=search-desktop&search_layout=grid&position=46&type=item&float_highlight=recent_publication&tracking_id=1ff81333-d98e-49e9-a273-064fe8a58543&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,137000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
137000,0,Coronel Diaz Al,2100,PB,https://departamento.mercadolibre.com.ar/MLA-1742734211-venta-departamento-2-ambientes-con-dos-patios-en-barrio-norte-apto-credito-y-profesional-_JM#polycard_client=search-desktop&search_layout=grid&position=47&type=item&float_highlight=recent_publication&tracking_id=1ff81333-d98e-49e9-a273-064fe8a58543&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,137000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
125000,140547,Rivadavia Al 1700 Entre Callao Y Rodriguez Peña,S/N,13.0,https://departamento.mercadolibre.com.ar/MLA-3174308866-venta-departamento-de-3-ambientes-con-balcon-en-congreso-apto-profesional-y-credito-hipotecario-_JM#polycard_client=search-desktop&search_layout=grid&position=48&type=item&float_highlight=recent_publication&tracking_id=1ff81333-d98e-49e9-a273-064fe8a58543&price_drop=not_apply,3,2,1,0,Bueno,35,Contrafrente,Norte,0,0,0,0,0,63.0,73.0,0,125000,140547,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1712.33,Monserrat
125000,140547,Rivadavia Al 1700 Entre Callao Y Rodriguez Peña,S/N,13.0,https://departamento.mercadolibre.com.ar/MLA-3174277428-venta-departamento-de-3-ambientes-con-balcon-en-congreso-apto-profesional-y-credito-hipotecario-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,35,Contrafrente,Norte,0,0,0,0,0,63.0,73.0,0,125000,140547,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1712.33,San Nicolás
125000,0,Rivadavia Al 1700 Entre Callao Y Rodriguez Peña,S/N,PB,https://departamento.mercadolibre.com.ar/MLA-1742650119-venta-departamento-de-3-ambientes-con-balcon-en-congreso-apto-profesional-y-credito-hipotecario-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Congreso
690000,0,Olleros Al,1700,PB,https://departamento.mercadolibre.com.ar/MLA-3153047302-ventadepartamentolas-canitas-amoblado3-dormitorioscon-cochera-a-nuevo-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Las Cañitas
215000,0,Enrique Martinez Al,2200,PB,https://departamento.mercadolibre.com.ar/MLA-3160038022-departamento-en-venta-en-belgrano-r-vista-abierta-balcon-aterrazado-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Belgrano R
155000,0,Campos Salles Al,1900,PB,https://departamento.mercadolibre.com.ar/MLA-1737941161-departamento-en-venta-2-ambientes-con-cochera-en-nunez-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Núñez
215000,168000,Enrique Martinez Al,2200,7.0,https://departamento.mercadolibre.com.ar/MLA-1738095597-departamento-en-venta-en-belgrano-r-vista-abierta-balcon-aterrazado-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,40,Frente,Norte,0,0,0,0,0,62.0,86.0,0,215000,168000,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,Belgrano
